"","CDS_TRUE_ID","CDS_Region","CDS_Begin","CDS_End","CDS_Orientation","CDS_ID","CDS_Parent","CDS_Dbxref","CDS_Name","CDS_Note","Locus.tag","CDS_product","CDS_protein_id"
"139","cds-ABG42876.1_84262.84966","CDS",84262,84966,"plus","cds-ABG42876.1","gene-CyHV3_ORF49","NCBI_GP:ABG42876.1","ABG42876.1",NA,"CyHV3_ORF49","protein ORF49","ABG42876.1"
"141","cds-ABG42878.1_85871.90448","CDS",85871,90448,"minus","cds-ABG42878.1","gene-CyHV3_ORF51","NCBI_GP:ABG42878.1","ABG42878.1",NA,"CyHV3_ORF51","protein ORF51","ABG42878.1"
"143","cds-ABG42877.1_85024.85680","CDS",85024,85680,"minus","cds-ABG42877.1","gene-CyHV3_ORF50","NCBI_GP:ABG42877.1","ABG42877.1",NA,"CyHV3_ORF50","protein ORF50","ABG42877.1"
"146","cds-ABG42879.1_90633.91607","CDS",90633,91607,"plus","cds-ABG42879.1","gene-CyHV3_ORF52","NCBI_GP:ABG42879.1","ABG42879.1",NA,"CyHV3_ORF52","protein ORF52","ABG42879.1"
"149","cds-ABG42880.1_91824.93542","CDS",91824,93542,"minus","cds-ABG42880.1","gene-CyHV3_ORF53","NCBI_GP:ABG42880.1","ABG42880.1",NA,"CyHV3_ORF53","protein ORF53","ABG42880.1"
"152","cds-ABG42881.1_93681.95711","CDS",93681,95711,"minus","cds-ABG42881.1","gene-CyHV3_ORF54","NCBI_GP:ABG42881.1","ABG42881.1",NA,"CyHV3_ORF54","protein ORF54","ABG42881.1"
"155","cds-ABG42882.1_95866.96516","CDS",95866,96516,"plus","cds-ABG42882.1","gene-CyHV3_ORF55","NCBI_GP:ABG42882.1","ABG42882.1",NA,"CyHV3_ORF55","thymidine kinase","ABG42882.1"
"158","cds-ABG42883.2_96705.99275","CDS",96705,99275,"minus","cds-ABG42883.2","gene-CyHV3_ORF56","NCBI_GP:ABG42883.2","ABG42883.2",NA,"CyHV3_ORF56","protein ORF56","ABG42883.2"
"161","cds-ABG42884.1_99382.100803","CDS",99382,100803,"plus","cds-ABG42884.1","gene-CyHV3_ORF57","NCBI_GP:ABG42884.1","ABG42884.1",NA,"CyHV3_ORF57","protein ORF57","ABG42884.1"
"164","cds-ABG42888.1_103974.106538","CDS",103974,106538,"minus","cds-ABG42888.1","gene-CyHV3_ORF61","NCBI_GP:ABG42888.1","ABG42888.1",NA,"CyHV3_ORF61","protein Allo54","ABG42888.1"
"166","cds-ABG42887.1_102511.104130","CDS",102511,104130,"minus","cds-ABG42887.1","gene-CyHV3_ORF60","NCBI_GP:ABG42887.1","ABG42887.1",NA,"CyHV3_ORF60","protein ORF60","ABG42887.1"
"168","cds-ABG42886.1_102036.102446","CDS",102036,102446,"minus","cds-ABG42886.1","gene-CyHV3_ORF59","NCBI_GP:ABG42886.1","ABG42886.1",NA,"CyHV3_ORF59","protein ORF59","ABG42886.1"
"171","cds-ABG42889.1_106572.118532","CDS",106572,118532,"plus","cds-ABG42889.1","gene-CyHV3_ORF62","NCBI_GP:ABG42889.1","ABG42889.1",NA,"CyHV3_ORF62","protein ORF62","ABG42889.1"
"174","cds-ABG42890.1_118663.119751","CDS",118663,119751,"plus","cds-ABG42890.1","gene-CyHV3_ORF63","NCBI_GP:ABG42890.1","ABG42890.1",NA,"CyHV3_ORF63","protein ORF63","ABG42890.1"
"177","cds-ABG42891.1_119864.122032","CDS",119864,122032,"plus","cds-ABG42891.1","gene-CyHV3_ORF64","NCBI_GP:ABG42891.1","ABG42891.1",NA,"CyHV3_ORF64","membrane protein ORF64","ABG42891.1"
"180","cds-ABG42892.1_122120.123910","CDS",122120,123910,"minus","cds-ABG42892.1","gene-CyHV3_ORF65","NCBI_GP:ABG42892.1","ABG42892.1","ORF25 family","CyHV3_ORF65","membrane protein ORF65","ABG42892.1"
"183","cds-ABG42896.1_132865.134445","CDS",132865,134445,"minus","cds-ABG42896.1","gene-CyHV3_ORF69","NCBI_GP:ABG42896.1","ABG42896.1",NA,"CyHV3_ORF69","protein ORF69","ABG42896.1"
"185","cds-ABG42895.1_126122.132925","CDS",126122,132925,"minus","cds-ABG42895.1","gene-CyHV3_ORF68","NCBI_GP:ABG42895.1","ABG42895.1",NA,"CyHV3_ORF68","protein ORF68","ABG42895.1"
"187","cds-ABG42894.1_125251.126144","CDS",125251,126144,"minus","cds-ABG42894.1","gene-CyHV3_ORF67","NCBI_GP:ABG42894.1","ABG42894.1",NA,"CyHV3_ORF67","protein ORF67","ABG42894.1"
"189","cds-ABG42893.1_124119.125309","CDS",124119,125309,"minus","cds-ABG42893.1","gene-CyHV3_ORF66","NCBI_GP:ABG42893.1","ABG42893.1",NA,"CyHV3_ORF66","capsid triplex subunit 1","ABG42893.1"
"192","cds-ABG42897.1_134494.135840","CDS",134494,135840,"plus","cds-ABG42897.1","gene-CyHV3_ORF70","NCBI_GP:ABG42897.1","ABG42897.1",NA,"CyHV3_ORF70","protein ORF70","ABG42897.1"
"194","cds-ABG42898.1_135907.137829","CDS",135907,137829,"plus","cds-ABG42898.1","gene-CyHV3_ORF71","NCBI_GP:ABG42898.1","ABG42898.1",NA,"CyHV3_ORF71","helicase-primase helicase subunit","ABG42898.1"
"196","cds-ABG42899.1_137928.139040","CDS",137928,139040,"plus","cds-ABG42899.1","gene-CyHV3_ORF72","NCBI_GP:ABG42899.1","ABG42899.1",NA,"CyHV3_ORF72","capsid triplex subunit 2","ABG42899.1"
"199","cds-ABG42903.1_140693.141562","CDS",140693,141562,"minus","cds-ABG42903.1","gene-CyHV3_ORF76","NCBI_GP:ABG42903.1","ABG42903.1",NA,"CyHV3_ORF76","protein ORF76","ABG42903.1"
"201","cds-ABG42901.1_139497.140063","CDS",139497,140063,"minus","cds-ABG42901.1","gene-CyHV3_ORF74","NCBI_GP:ABG42901.1","ABG42901.1",NA,"CyHV3_ORF74","protein ORF74","ABG42901.1"
"203","cds-ABG42900.1_139141.139551","CDS",139141,139551,"minus","cds-ABG42900.1","gene-CyHV3_ORF73","NCBI_GP:ABG42900.1","ABG42900.1",NA,"CyHV3_ORF73","protein ORF73","ABG42900.1"
"206","cds-ABG42902.1_140044.140781","CDS",140044,140781,"plus","cds-ABG42902.1","gene-CyHV3_ORF75","NCBI_GP:ABG42902.1","ABG42902.1",NA,"CyHV3_ORF75","protein ORF75","ABG42902.1"
"208","cds-ABG42904.1_141635.142402","CDS",141635,142402,"plus","cds-ABG42904.1","gene-CyHV3_ORF77","NCBI_GP:ABG42904.1","ABG42904.1",NA,"CyHV3_ORF77","protein ORF77","ABG42904.1"
"210","cds-ABG42905.1_142353.144593","CDS",142353,144593,"plus","cds-ABG42905.1","gene-CyHV3_ORF78","NCBI_GP:ABG42905.1","ABG42905.1",NA,"CyHV3_ORF78","capsid maturation protease","ABG42905.1"
"213","cds-ABG42906.1_144730.149859","CDS",144730,149859,"plus","cds-ABG42906.1","gene-CyHV3_ORF79","NCBI_GP:ABG42906.1","ABG42906.1",NA,"CyHV3_ORF79","DNA polymerase catalytic subunit","ABG42906.1"
"215","cds-ABG42910.1_152794.153480","CDS",152794,153480,"minus","cds-ABG42910.1","gene-CyHV3_ORF83","NCBI_GP:ABG42910.1","ABG42910.1",NA,"CyHV3_ORF83","membrane protein ORF83","ABG42910.1"
"217","cds-ABG42909.1_151836.152807","CDS",151836,152807,"minus","cds-ABG42909.1","gene-CyHV3_ORF82","NCBI_GP:ABG42909.1","ABG42909.1",NA,"CyHV3_ORF82","membrane protein ORF82","ABG42909.1"
"219","cds-ABG42907.1_149708.150760","CDS",149708,150760,"minus","cds-ABG42907.1","gene-CyHV3_ORF80","NCBI_GP:ABG42907.1","ABG42907.1",NA,"CyHV3_ORF80","protein Allo60","ABG42907.1"
"222","cds-ABG42908.1_150797.151567","CDS",150797,151567,"plus","cds-ABG42908.1","gene-CyHV3_ORF81","NCBI_GP:ABG42908.1","ABG42908.1",NA,"CyHV3_ORF81","membrane protein ORF81","ABG42908.1"
"225","cds-ABG42912.1_155913.157196","CDS",155913,157196,"minus","cds-ABG42912.1","gene-CyHV3_ORF85","NCBI_GP:ABG42912.1","ABG42912.1",NA,"CyHV3_ORF85","protein ORF85","ABG42912.1"
"227","cds-ABG42911.1_153583.155916","CDS",153583,155916,"minus","cds-ABG42911.1","gene-CyHV3_ORF84","NCBI_GP:ABG42911.1","ABG42911.1",NA,"CyHV3_ORF84","protein ORF84","ABG42911.1"
"230","cds-ABG42914.1_157650.161135","CDS",157650,161135,"minus","cds-ABG42914.1","gene-CyHV3_ORF87","NCBI_GP:ABG42914.1","ABG42914.1",NA,"CyHV3_ORF87","protein ORF87","ABG42914.1"
"232","cds-ABG42913.1_157148.157840","CDS",157148,157840,"minus","cds-ABG42913.1","gene-CyHV3_ORF86","NCBI_GP:ABG42913.1","ABG42913.1",NA,"CyHV3_ORF86","protein ORF86","ABG42913.1"
"235","cds-ABG42915.1_161194.163914","CDS",161194,163914,"plus","cds-ABG42915.1","gene-CyHV3_ORF88","NCBI_GP:ABG42915.1","ABG42915.1",NA,"CyHV3_ORF88","protein ORF88","ABG42915.1"
"238","cds-ABG42916.1_164040.165497","CDS",164040,165497,"plus","cds-ABG42916.1","gene-CyHV3_ORF89","NCBI_GP:ABG42916.1","ABG42916.1",NA,"CyHV3_ORF89","protein ORF89","ABG42916.1"
"241","cds-ABG42917.1_166840.167955","CDS",166840,167955,"minus","cds-ABG42917.1","gene-CyHV3_ORF90","NCBI_GP:ABG42917.1","ABG42917.1",NA,"CyHV3_ORF90","protein Allo37","ABG42917.1"
"242","cds-ABG42917.1_165574.166764","CDS",165574,166764,"minus","cds-ABG42917.1","gene-CyHV3_ORF90","NCBI_GP:ABG42917.1","ABG42917.1",NA,"CyHV3_ORF90","protein Allo37","ABG42917.1"
"245","cds-ABG42918.1_167979.168665","CDS",167979,168665,"plus","cds-ABG42918.1","gene-CyHV3_ORF91","NCBI_GP:ABG42918.1","ABG42918.1",NA,"CyHV3_ORF91","protein ORF91","ABG42918.1"
"247","cds-ABG42919.1_168831.172637","CDS",168831,172637,"plus","cds-ABG42919.1","gene-CyHV3_ORF92","NCBI_GP:ABG42919.1","ABG42919.1",NA,"CyHV3_ORF92","major capsid protein","ABG42919.1"
"249","cds-ABG42920.1_172697.173359","CDS",172697,173359,"plus","cds-ABG42920.1","gene-CyHV3_ORF93","NCBI_GP:ABG42920.1","ABG42920.1",NA,"CyHV3_ORF93","protein ORF93","ABG42920.1"
"251","cds-ABG42921.2_173386.174483","CDS",173386,174483,"minus","cds-ABG42921.2","gene-CyHV3_ORF94","NCBI_GP:ABG42921.2","ABG42921.2","frameshifted","CyHV3_ORF94","truncated protein ORF94","ABG42921.2"
"255","cds-ABG42924.1_177739.180861","CDS",177739,180861,"minus","cds-ABG42924.1","gene-CyHV3_ORF97","NCBI_GP:ABG42924.1","ABG42924.1",NA,"CyHV3_ORF97","protein ORF97","ABG42924.1"
"257","cds-ABG42923.1_175089.177545","CDS",175089,177545,"minus","cds-ABG42923.1","gene-CyHV3_ORF96","NCBI_GP:ABG42923.1","ABG42923.1",NA,"CyHV3_ORF96","protein ORF96","ABG42923.1"
"259","cds-ABG42922.1_174446.175096","CDS",174446,175096,"minus","cds-ABG42922.1","gene-CyHV3_ORF95","NCBI_GP:ABG42922.1","ABG42922.1",NA,"CyHV3_ORF95","protein ORF95","ABG42922.1"
"262","cds-ABG42925.1_180807.181772","CDS",180807,181772,"plus","cds-ABG42925.1","gene-CyHV3_ORF98","NCBI_GP:ABG42925.1","ABG42925.1",NA,"CyHV3_ORF98","uracil-DNA glycosylase","ABG42925.1"
"265","cds-ABG42926.1_181926.186551","CDS",181926,186551,"plus","cds-ABG42926.1","gene-CyHV3_ORF99","NCBI_GP:ABG42926.1","ABG42926.1",NA,"CyHV3_ORF99","membrane protein Allo46","ABG42926.1"
"268","cds-ABG42927.1_186598.187743","CDS",186598,187743,"minus","cds-ABG42927.1","gene-CyHV3_ORF100","NCBI_GP:ABG42927.1","ABG42927.1",NA,"CyHV3_ORF100","protein ORF100","ABG42927.1"
"271","cds-ABG42928.1_188007.190676","CDS",188007,190676,"plus","cds-ABG42928.1","gene-CyHV3_ORF101","NCBI_GP:ABG42928.1","ABG42928.1",NA,"CyHV3_ORF101","protein ORF101","ABG42928.1"
"273","cds-ABG42929.1_189924.191588","CDS",189924,191588,"minus","cds-ABG42929.1","gene-CyHV3_ORF102","NCBI_GP:ABG42929.1","ABG42929.1",NA,"CyHV3_ORF102","protein ORF102","ABG42929.1"
"276","cds-ABG42930.1_191317.193491","CDS",191317,193491,"plus","cds-ABG42930.1","gene-CyHV3_ORF103","NCBI_GP:ABG42930.1","ABG42930.1",NA,"CyHV3_ORF103","protein ORF103","ABG42930.1"
"278","cds-ABG42931.1_192830.194806","CDS",192830,194806,"plus","cds-ABG42931.1","gene-CyHV3_ORF104","NCBI_GP:ABG42931.1","ABG42931.1",NA,"CyHV3_ORF104","protein ORF104","ABG42931.1"
"280","cds-ABG42932.2_195001.195633","CDS",195001,195633,"plus","cds-ABG42932.2","gene-CyHV3_ORF105","NCBI_GP:ABG42932.2","ABG42932.2","marginal CDS","CyHV3_ORF105","protein ORF105","ABG42932.2"
"283","cds-ABG42933.1_195777.196013","CDS",195777,196013,"plus","cds-ABG42933.1","gene-CyHV3_ORF106","NCBI_GP:ABG42933.1","ABG42933.1",NA,"CyHV3_ORF106","protein ORF106","ABG42933.1"
"285","cds-ABG42934.1_196156.201024","CDS",196156,201024,"plus","cds-ABG42934.1","gene-CyHV3_ORF107","NCBI_GP:ABG42934.1","ABG42934.1",NA,"CyHV3_ORF107","protein Allo56","ABG42934.1"
"288","cds-ABG42935.1_201231.201818","CDS",201231,201818,"plus","cds-ABG42935.1","gene-CyHV3_ORF108","NCBI_GP:ABG42935.1","ABG42935.1",NA,"CyHV3_ORF108","protein ORF108","ABG42935.1"
"291","cds-ABG42936.1_201872.202816","CDS",201872,202816,"minus","cds-ABG42936.1","gene-CyHV3_ORF109","NCBI_GP:ABG42936.1","ABG42936.1",NA,"CyHV3_ORF109","protein ORF109","ABG42936.1"
"294","cds-ABG42937.1_202777.203493","CDS",202777,203493,"plus","cds-ABG42937.1","gene-CyHV3_ORF110","NCBI_GP:ABG42937.1","ABG42937.1",NA,"CyHV3_ORF110","protein ORF110","ABG42937.1"
"296","cds-ABG42938.1_203581.205014","CDS",203581,205014,"plus","cds-ABG42938.1","gene-CyHV3_ORF111","NCBI_GP:ABG42938.1","ABG42938.1",NA,"CyHV3_ORF111","protein ORF111","ABG42938.1"
"298","cds-ABG42939.1_205019.205861","CDS",205019,205861,"plus","cds-ABG42939.1","gene-CyHV3_ORF112","NCBI_GP:ABG42939.1","ABG42939.1",NA,"CyHV3_ORF112","protein ORF112","ABG42939.1"
"300","cds-ABG42940.1_205931.207127","CDS",205931,207127,"plus","cds-ABG42940.1","gene-CyHV3_ORF113","NCBI_GP:ABG42940.1","ABG42940.1",NA,"CyHV3_ORF113","protein ORF113","ABG42940.1"
